"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Paul Goldschmidt","STL","58","247","7","33","29","3","8.5%","23.1%",".156",".304",".250",".316",".406",".316",".353","103","0.9","1.8","-3.9","0.6","9218"
"Luis Urias","MIL","54","188","7","17","25","2","12.2%","24.5%",".186",".264",".224",".321",".410",".316",".335","100","1.0","1.0","-1.3","0.6","16622"
"Nate Lowe","TEX","61","257","8","27","31","4","13.6%","28.8%",".141",".324",".241",".346",".382",".325",".344","109","-1.8","1.1","-4.2","0.6","19566"
"Yermin Mercedes","CHW","55","211","7","19","31","0","8.1%","16.6%",".156",".325",".292",".351",".448",".346",".334","125","-1.7","4.5","-6.1","0.6","17423"
"Christian Vazquez","BOS","52","192","3","23","24","5","5.7%","19.3%",".106",".298",".251",".292",".358",".284",".281","77","0.0","-5.2","4.1","0.5","9774"
"Max Kepler","MIN","37","152","5","20","22","5","10.5%","18.4%",".212",".228",".212",".303",".424",".312",".351","99","1.9","1.8","-1.6","0.5","12144"
"Gavin Lux","LAD","49","188","5","23","25","1","6.9%","23.4%",".145",".288",".238",".293",".384",".293",".319","89","1.9","-0.6","0.0","0.5","19955"
"Corey Dickerson","MIA","56","196","2","23","12","2","7.1%","20.9%",".112",".338",".270",".332",".382",".315",".303","104","-1.6","-0.6","-0.8","0.5","10762"
"Amed Rosario","CLE","50","187","4","25","17","5","8.0%","19.3%",".135",".282",".240",".305",".374",".299",".312","89","-0.5","-3.0","1.5","0.5","15518"
"Jeimer Candelario","DET","57","241","4","27","18","0","9.1%","26.1%",".115",".358",".266",".336",".381",".318",".317","103","0.8","1.5","-4.8","0.5","13621"
"Luis Arraez","MIN","39","162","1","20","14","0","10.5%","11.1%",".057",".306",".277",".358",".333",".310",".364","98","0.7","0.3","-1.1","0.5","18568"
"Victor Robles","WSN","46","158","0","15","6","6","10.1%","23.4%",".082",".309",".224",".338",".306",".292",".300","83","-1.4","-4.8","4.2","0.5","18363"
"Andrew McCutchen","PHI","53","225","10","27","29","3","14.7%","26.2%",".209",".262",".225",".338",".433",".336",".345","113","0.3","3.9","-6.6","0.5","9847"
